Dataset name,Classifier name,Strategy,f1_score,std,class_of_z,radius,amount in radius
Wine,lda,Leafage: closest boundary,0.96,0.04,0.68,0.75,35.61
Wine,lda,Leafage: closest boundary,0.96,0.02,0.64,0.8,40.93
Wine,lda,Leafage: closest boundary,0.97,0.02,0.6,0.85,45.67
Wine,lda,Leafage: closest boundary,0.97,0.02,0.57,0.9,49.41
Wine,lda,Leafage: closest boundary,0.97,0.02,0.56,0.95,51.73
Wine,lda,Leafage: closest boundary,0.97,0.02,0.55,1.0,54.0
Wine,lda,Leafage: closest boundary,0.93,0.09,0.46,-1,18.16
Wine,lda,lime,0.63,0.38,1.0,0.05,1.0
Wine,lda,lime,0.63,0.38,1.0,0.1,1.0
Wine,lda,lime,0.63,0.38,1.0,0.15,1.0
Wine,lda,lime,0.63,0.38,1.0,0.2,1.09
Wine,lda,lime,0.62,0.39,0.99,0.25,1.34
Wine,lda,lime,0.62,0.4,0.99,0.3,1.98
Wine,lda,lime,0.61,0.4,1.0,0.35,3.1
Wine,lda,lime,0.61,0.39,0.98,0.4,5.1
Wine,lda,lime,0.59,0.37,0.95,0.45,7.64
Wine,lda,lime,0.55,0.35,0.93,0.5,11.07
Wine,lda,lime,0.52,0.31,0.91,0.55,14.71
Wine,lda,lime,0.49,0.25,0.85,0.6,19.08
Wine,lda,lime,0.48,0.18,0.8,0.65,24.21
Wine,lda,lime,0.49,0.13,0.73,0.7,29.6
Wine,lda,lime,0.5,0.09,0.68,0.75,35.61
Wine,lda,lime,0.51,0.07,0.64,0.8,40.93
Wine,lda,lime,0.52,0.05,0.6,0.85,45.67
Wine,lda,lime,0.52,0.04,0.57,0.9,49.41
Wine,lda,lime,0.52,0.03,0.56,0.95,51.73
Wine,lda,lime,0.52,0.02,0.55,1.0,54.0
Wine,lda,lime,0.46,0.18,0.46,-1,18.16
Wine,rf,Leafage: closest enemy,0.93,0.25,1.0,0.05,1.0
Wine,rf,Leafage: closest enemy,0.93,0.25,1.0,0.1,1.0
Wine,rf,Leafage: closest enemy,0.93,0.25,1.0,0.15,1.0
Wine,rf,Leafage: closest enemy,0.93,0.25,0.99,0.2,1.09
Wine,rf,Leafage: closest enemy,0.93,0.25,0.99,0.25,1.34
Wine,rf,Leafage: closest enemy,0.92,0.25,0.99,0.3,1.98
Wine,rf,Leafage: closest enemy,0.91,0.25,0.97,0.35,3.1
Wine,rf,Leafage: closest enemy,0.9,0.23,0.96,0.4,5.1
Wine,rf,Leafage: closest enemy,0.88,0.23,0.94,0.45,7.64
Wine,rf,Leafage: closest enemy,0.8,0.24,0.92,0.5,11.07
Wine,rf,Leafage: closest enemy,0.8,0.21,0.9,0.55,14.71
Wine,rf,Leafage: closest enemy,0.82,0.17,0.85,0.6,19.08
Wine,rf,Leafage: closest enemy,0.81,0.15,0.8,0.65,24.21
Wine,rf,Leafage: closest enemy,0.84,0.1,0.75,0.7,29.6
Wine,rf,Leafage: closest enemy,0.87,0.07,0.7,0.75,35.61
Wine,rf,Leafage: closest enemy,0.88,0.05,0.66,0.8,40.93
Wine,rf,Leafage: closest enemy,0.9,0.03,0.63,0.85,45.67
Wine,rf,Leafage: closest enemy,0.9,0.03,0.61,0.9,49.41
Wine,rf,Leafage: closest enemy,0.9,0.03,0.59,0.95,51.73
Wine,rf,Leafage: closest enemy,0.9,0.03,0.58,1.0,54.0
Wine,rf,Leafage: closest enemy,0.77,0.17,0.46,-1,19.5
Wine,rf,Leafage: closest boundary,0.93,0.25,1.0,0.05,1.0
Wine,rf,Leafage: closest boundary,0.93,0.25,1.0,0.1,1.0
Wine,rf,Leafage: closest boundary,0.93,0.25,1.0,0.15,1.0
Wine,rf,Leafage: closest boundary,0.93,0.25,0.99,0.2,1.09
Wine,rf,Leafage: closest boundary,0.93,0.25,0.99,0.25,1.34
Wine,rf,Leafage: closest boundary,0.92,0.25,0.99,0.3,1.98
Wine,rf,Leafage: closest boundary,0.91,0.24,0.97,0.35,3.1
Wine,rf,Leafage: closest boundary,0.9,0.24,0.96,0.4,5.1
Wine,rf,Leafage: closest boundary,0.87,0.23,0.94,0.45,7.64
Wine,rf,Leafage: closest boundary,0.8,0.24,0.92,0.5,11.07
Wine,rf,Leafage: closest boundary,0.79,0.22,0.9,0.55,14.71
Wine,rf,Leafage: closest boundary,0.81,0.17,0.85,0.6,19.08
Wine,rf,Leafage: closest boundary,0.81,0.15,0.8,0.65,24.21
Wine,rf,Leafage: closest boundary,0.84,0.1,0.75,0.7,29.6
Wine,rf,Leafage: closest boundary,0.88,0.06,0.7,0.75,35.61
Wine,rf,Leafage: closest boundary,0.89,0.04,0.66,0.8,40.93
Wine,rf,Leafage: closest boundary,0.91,0.03,0.63,0.85,45.67
Wine,rf,Leafage: closest boundary,0.91,0.02,0.61,0.9,49.41
Wine,rf,Leafage: closest boundary,0.92,0.02,0.59,0.95,51.73
Wine,rf,Leafage: closest boundary,0.92,0.02,0.58,1.0,54.0
Wine,rf,Leafage: closest boundary,0.77,0.17,0.46,-1,19.5
Wine,rf,lime,0.53,0.46,1.0,0.05,1.0
Wine,rf,lime,0.53,0.46,1.0,0.1,1.0
Wine,rf,lime,0.53,0.46,1.0,0.15,1.0
Wine,rf,lime,0.53,0.45,0.99,0.2,1.09
Wine,rf,lime,0.53,0.45,0.99,0.25,1.34
Wine,rf,lime,0.53,0.45,0.99,0.3,1.98
Wine,rf,lime,0.52,0.43,0.97,0.35,3.1
Wine,rf,lime,0.52,0.41,0.96,0.4,5.1
Wine,rf,lime,0.5,0.39,0.94,0.45,7.64
Wine,rf,lime,0.48,0.36,0.92,0.5,11.07
Wine,rf,lime,0.45,0.32,0.9,0.55,14.71
Wine,rf,lime,0.41,0.26,0.85,0.6,19.08
Wine,rf,lime,0.39,0.21,0.8,0.65,24.21
Wine,rf,lime,0.37,0.15,0.75,0.7,29.6
Wine,rf,lime,0.34,0.09,0.7,0.75,35.61
Wine,rf,lime,0.34,0.05,0.66,0.8,40.93
Wine,rf,lime,0.34,0.03,0.63,0.85,45.67
Wine,rf,lime,0.34,0.02,0.61,0.9,49.41
Wine,rf,lime,0.34,0.01,0.59,0.95,51.73
Wine,rf,lime,0.33,0.0,0.58,1.0,54.0
Wine,rf,lime,0.31,0.15,0.46,-1,19.5
Wine,dt,Leafage: closest enemy,0.93,0.25,1.0,0.05,1.0
Wine,dt,Leafage: closest enemy,0.93,0.25,1.0,0.1,1.0
Wine,dt,Leafage: closest enemy,0.93,0.25,1.0,0.15,1.0
Wine,dt,Leafage: closest enemy,0.93,0.25,1.0,0.2,1.09
Wine,dt,Leafage: closest enemy,0.93,0.25,0.98,0.25,1.34
Wine,dt,Leafage: closest enemy,0.92,0.25,0.98,0.3,1.98
Wine,dt,Leafage: closest enemy,0.89,0.25,0.94,0.35,3.1
Wine,dt,Leafage: closest enemy,0.85,0.26,0.93,0.4,5.1
Wine,dt,Leafage: closest enemy,0.81,0.25,0.89,0.45,7.64
Wine,dt,Leafage: closest enemy,0.76,0.24,0.87,0.5,11.07
Wine,dt,Leafage: closest enemy,0.76,0.22,0.85,0.55,14.71
Wine,dt,Leafage: closest enemy,0.76,0.18,0.81,0.6,19.08
Wine,dt,Leafage: closest enemy,0.79,0.15,0.77,0.65,24.21
Wine,dt,Leafage: closest enemy,0.85,0.1,0.72,0.7,29.6
Wine,dt,Leafage: closest enemy,0.87,0.06,0.67,0.75,35.61
Wine,dt,Leafage: closest enemy,0.89,0.04,0.63,0.8,40.93
Wine,dt,Leafage: closest enemy,0.89,0.03,0.6,0.85,45.67
Wine,dt,Leafage: closest enemy,0.89,0.03,0.57,0.9,49.41
Wine,dt,Leafage: closest enemy,0.89,0.03,0.56,0.95,51.73
Wine,dt,Leafage: closest enemy,0.9,0.03,0.55,1.0,54.0
Wine,dt,Leafage: closest enemy,0.66,0.23,0.45,-1,14.06
Wine,dt,Leafage: closest boundary,0.92,0.27,1.0,0.05,1.0
Wine,dt,Leafage: closest boundary,0.92,0.27,1.0,0.1,1.0
Wine,dt,Leafage: closest boundary,0.92,0.27,1.0,0.15,1.0
Wine,dt,Leafage: closest boundary,0.92,0.27,1.0,0.2,1.09
Wine,dt,Leafage: closest boundary,0.92,0.26,0.98,0.25,1.34
Wine,dt,Leafage: closest boundary,0.91,0.26,0.98,0.3,1.98
Wine,dt,Leafage: closest boundary,0.88,0.26,0.94,0.35,3.1
Wine,dt,Leafage: closest boundary,0.85,0.26,0.93,0.4,5.1
Wine,dt,Leafage: closest boundary,0.8,0.26,0.89,0.45,7.64
Wine,dt,Leafage: closest boundary,0.75,0.24,0.87,0.5,11.07
Wine,dt,Leafage: closest boundary,0.75,0.22,0.85,0.55,14.71
Wine,dt,Leafage: closest boundary,0.75,0.18,0.81,0.6,19.08
Wine,dt,Leafage: closest boundary,0.78,0.14,0.77,0.65,24.21
Wine,dt,Leafage: closest boundary,0.84,0.09,0.72,0.7,29.6
Wine,dt,Leafage: closest boundary,0.87,0.05,0.67,0.75,35.61
Wine,dt,Leafage: closest boundary,0.89,0.03,0.63,0.8,40.93
Wine,dt,Leafage: closest boundary,0.9,0.02,0.6,0.85,45.67
Wine,dt,Leafage: closest boundary,0.9,0.02,0.57,0.9,49.41
Wine,dt,Leafage: closest boundary,0.9,0.02,0.56,0.95,51.73
Wine,dt,Leafage: closest boundary,0.9,0.02,0.55,1.0,54.0
Wine,dt,Leafage: closest boundary,0.65,0.23,0.45,-1,14.06
Wine,dt,lime,0.51,0.47,1.0,0.05,1.0
Wine,dt,lime,0.51,0.47,1.0,0.1,1.0
Wine,dt,lime,0.51,0.47,1.0,0.15,1.0
Wine,dt,lime,0.51,0.47,1.0,0.2,1.09
Wine,dt,lime,0.51,0.47,0.98,0.25,1.34
Wine,dt,lime,0.51,0.46,0.98,0.3,1.98
Wine,dt,lime,0.47,0.43,0.94,0.35,3.1
